Observation,Number of employees in your organization,SCI_APO,SCI_CRM,SCI_DWS,SCI_IHS,SCI_EDI,SCI_CPS,SCI_POS,SCI_RFI,SCI_IMS,SCI_TMS,SCI_FIS,SCI_OMS,SCI_SDS,ERP_FIS,ERP_APO,ERP_SDS,ERP_OMS,ERP_CRM,ERP_DWS,ERP_TMS,ERP_IMS,System Integration has a direct impact on the overall supply chain efficiency in your organization,Supply chain integration improved supply chain efficiency in your organization,Business system integration in the supply chain is best termed as a cycle: a cycle of integration and selective dis-integration,Disintegrating and moving some functionalities of ERP from core supply chain system to cloud will lead to lean and efficient supply chain,dis_OMS,dis_IMS,dis_TMS,Efficient supply chain lead to positive organizational performance,per-mktshare,per_salesgr,per_prfmr,per_compet,per_roi,per_ros,sce_FLX,sce_SCT,sce_SCC,sce_OTD,sce_SOS,sce_PRD,sce_FFE
Other process industry,3001- 5000,1,1,1,1,5,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,3,5,3,2,5,5,5,4,4,4,4
Information technology,2001- 3000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,2,5,5,5,4,3,3,3,3,3,3,5,5,5,5,3,5,3
Information technology,3001- 5000,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5,5,5,2,5,0,4,4,5,4,4,4,4,4,2,5,5,5,4,4,4,4
Petrochemical,> 5000,5,5,3,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,3,4,2,4,2,2,5,5,5,5,3,3,3
Refinery,2001- 3000,5,5,5,5,5,5,5,5,5,5,2,4,2,3,4,3,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,2,5,2,1,5,5,5,5,3,3,3
Refinery,1001-2000,5,5,5,5,3,5,5,5,3,3,3,4,4,3,4,4,4,5,5,3,3,4,4,4,4,5,5,5,4,4,4,0,4,4,2,5,5,5,5,4,4,4
Information technology,2001- 3000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,5,5,0,4,4,1,5,5,5,5,4,4,4
Information technology,3001- 5000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,5,5,5,3,4,4,4,3,3,5,5,5,5,3,3,3
Refinery,2001- 3000,5,5,5,5,3,5,5,5,4,4,4,5,3,4,3,4,4,4,5,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,3,5,5,5,5,3,3,4
Petrochemical,1001-2000,4,4,4,4,0,0,0,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,5,4,3,3,4,4,4,3,4,3,2,4,0,4,4,0,0,4
Petrochemical,3001- 5000,4,4,4,4,4,4,4,4,0,0,4,0,0,4,4,4,4,4,4,4,4,5,4,2,3,4,4,4,3,4,4,3,3,3,2,4,4,4,4,0,0,4
Other process industry,> 5000,5,5,0,5,5,5,5,5,0,0,0,0,0,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,2,4,5,4,5,4,4,5
Petrochemical,1001-2000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,5,5,4,4,3,3,3,4,4,4,3,4,3,3,4,4,4,4,0,0,4
Refinery,501-1000,4,4,4,4,0,0,4,4,0,0,0,0,0,4,0,4,4,0,0,0,4,4,4,4,4,3,3,3,4,3,3,3,4,3,3,4,5,5,5,4,4,5
Petrochemical,1001-2000,5,5,5,5,4,5,4,5,3,3,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,1,5,5,4,5,4,4,5
Refinery,1001-2000,5,5,5,5,3,3,3,3,4,4,4,5,4,4,3,5,5,5,5,4,5,4,4,2,4,3,3,3,4,4,4,2,3,3,2,4,4,4,4,3,3,2
Other process industry,501-1000,5,5,5,5,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,2
Refinery,1001-2000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,4,4,4,4,3,3,3
Refinery,2001- 3000,4,4,4,0,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,3,2,4,4,4,3,3,3,3
Petrochemical,1001-2000,5,4,4,5,4,5,4,5,4,4,4,4,4,4,5,5,5,3,3,3,5,5,5,3,4,4,4,4,5,5,5,3,5,3,1,5,5,5,5,3,3,5
Refinery,2001- 3000,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4,1,2,4,4,4,4,4,4,2,4,4,5,3,2,2,4
Refinery,> 5000,5,5,5,5,3,5,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,2,5,5,5,5,3,3,3
Refinery,2001- 3000,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,0,4,5,4,3,3,4
Chemical,1001-2000,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,4,4,0,4,4,4,4,2,4,4
Refinery,501-1000,4,4,4,3,2,2,0,2,2,2,4,4,4,4,0,4,4,2,0,2,2,4,4,2,3,3,3,3,4,4,4,4,4,4,2,4,4,3,4,2,2,1
Refinery,1001-2000,4,3,4,3,4,3,3,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,4,4,5,4,4,4,4,3,5,3,5,3,1,4,4,4,4,2,2,4
Refinery,501-1000,4,3,4,3,2,2,2,4,4,2,3,4,3,2,2,4,4,2,2,2,4,4,3,3,4,4,4,4,5,5,5,2,5,4,2,4,4,4,4,3,3,4
Petrochemical,2001- 3000,5,4,5,4,5,5,4,5,4,4,4,4,5,4,5,5,0,2,2,2,5,4,4,3,4,3,2,3,4,4,4,3,4,4,2,0,5,5,5,3,3,5
Refinery,2001- 3000,5,4,5,4,5,5,4,4,4,4,4,4,5,4,5,3,0,2,2,5,5,5,5,4,4,5,5,5,5,5,5,3,5,3,1,0,5,5,5,3,3,3
Petrochemical,501-1000,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,5,3,4,5,5,5,4,4,4,3,4,3,2,4,4,4,4,3,3,4
Petrochemical,1001-2000,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,4,3,3,4,4,4,3,3,0,4
Petrochemical,2001- 3000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,2,5,3,3,3,4,3,4,2,4,3,3,4,4,4,4,3,3,3
Petrochemical,101- 500,4,4,4,4,3,2,2,2,4,2,4,4,4,4,2,3,4,2,0,2,4,5,5,4,5,3,3,3,5,5,5,5,5,0,1,4,4,4,4,2,2,4
Petrochemical,1001-2000,5,4,5,4,4,5,4,5,4,4,4,4,4,3,4,3,4,4,1,1,4,4,4,3,4,3,3,3,4,4,4,3,4,3,3,4,4,4,4,2,2,3
Petrochemical,101- 500,4,4,4,4,1,0,2,1,2,2,4,0,2,4,1,3,4,1,1,2,2,5,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,3,3,3
Refinery,2001- 3000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,3,4,5,3,5,3,3,5,5,5,5,3,3,5
Refinery,> 5000,5,4,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,2,5,5,5,5,3,3,5
Petrochemical,3001- 5000,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,5,5,5,4,4,4,2,4,0,2,5,5,5,5,3,3,4
Refinery,> 5000,5,4,5,4,5,4,4,5,4,4,4,4,4,3,5,5,4,4,5,4,4,5,4,3,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,3,3,4
Chemical,> 5000,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,3
Refinery,3001- 5000,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,2,2,4
Petrochemical,501-1000,4,4,4,2,2,0,0,2,3,4,4,4,4,4,2,4,4,2,2,2,2,4,4,3,4,3,3,3,4,4,4,3,4,3,2,4,4,4,4,3,3,4
Refinery,> 5000,5,4,5,4,5,5,4,5,4,4,4,5,4,4,5,5,5,5,5,4,4,5,4,2,4,4,4,4,4,3,4,3,4,3,2,4,4,4,4,4,2,4
Refinery,> 5000,5,5,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,4,4,4,4,3,3,4
Refinery,> 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,1,4,4,4,4,3,3,4
Petrochemical,3001- 5000,5,4,5,4,4,5,4,5,4,4,4,4,4,3,4,5,5,5,5,4,4,4,4,3,4,4,4,4,4,5,5,3,5,3,3,5,5,5,4,3,3,4
Petrochemical,2001- 3000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,5,5,4,4,4,4,5,5,3,5,4,1,4,4,4,4,3,3,4
Other process industry,> 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,5,3,2,4,4,4,4,4,4,4
Refinery,> 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,5,3,3,3,4,3,5,3,5,3,1,4,4,4,4,4,4,4
Refinery,> 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,1,4,4,5,5,3,5,5,4,4,5,5,5,5,5,5,1,4,4,4,4,2,2,4
Refinery,3001- 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,5,5,4,4,4,4,4,4,2,5,5,5,5,0,0,5
Refinery,> 5000,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,4,4,4,4,5,4,4,4,4,4,2,5,5,5,5,4,4,5
Refinery,3001- 5000,5,4,5,4,4,5,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,5,3,3,4,4,4,4,4,5,5,3,5,3,2,5,5,5,5,4,4,5
Information technology,> 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,5,5,5,5,5,5,1,4,4,4,4,4,4,4
Refinery,2001- 3000,5,4,5,4,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,2,2,4
Refinery,3001- 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,4,4,4,2,4,3,3,5,5,5,5,3,3,5
Petrochemical,501-1000,4,4,4,4,2,0,3,0,3,3,2,4,4,4,2,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4
Refinery,2001- 3000,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,5,5,5,1,4,4,4,4,3,3,4
Refinery,> 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,4,4,2,4,4,2,4,4,4,4,4,4,4
Chemical,3001- 5000,4,4,4,4,4,4,4,4,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,3,3,5,5,5,4,4,4,4,4,4,2,5,5,5,5,2,2,5
Other process industry,3001- 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,4
Chemical,3001- 5000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4
Refinery,1001-2000,4,2,0,2,4,0,2,2,2,4,2,2,2,1,1,1,1,1,1,1,1,5,5,4,5,3,3,3,5,5,5,5,5,5,1,3,3,3,3,3,3,3
